,Type,Start,End,Duration,Day of Week,Budget,Currency,Clicks,Impressions,Spent,CTR,CPC,CPI,Target Age,Target Gender,Username,Email,Name,Gender,Age
0,GRZ,2022-09-10,2023-04-25,227,Saturday,695129,EUR,14715,499998,206593,0.029430117720470883,14.039619435949712,0.413187652750611,35-55,B,brandon96,randallowens@example.org,Jordan Williams,M,71
1,KTR,2023-06-13,2024-01-09,210,Tuesday,607601,USD,53790,499999,584645,0.10758021516043031,10.869027700316044,1.1692923385846772,20-40,B,brandon96,randallowens@example.org,Jordan Williams,M,71
2,BYU,2023-08-18,2023-09-09,22,Friday,644070,GBP,42683,500000,621204,0.085366,14.553897336175995,1.242408,40-65,F,brandon96,randallowens@example.org,Jordan Williams,M,71
3,AKX,2023-07-27,2024-09-27,428,Thursday,954145,USD,10006,499997,72526,0.020012120072720435,7.248251049370378,0.14505287031722192,30-45,M,brandon96,randallowens@example.org,Jordan Williams,M,71
4,BYU,2024-03-16,2024-09-22,190,Saturday,175435,EUR,13667,500001,79039,0.027333945332109335,5.783200409746104,0.1580776838446323,35-40,B,brandon96,randallowens@example.org,Jordan Williams,M,71
5,BYU,2023-09-13,2024-07-26,317,Wednesday,136051,USD,16829,500001,119364,0.03365793268413463,7.092756551191396,0.2387275225449549,20-25,M,mcclurejames,shannonjenkins@example.net,Amanda Martin,F,56
6,AKX,2023-08-26,2024-07-10,319,Saturday,43579,GBP,29053,500001,37415,0.05810588378823242,1.287818813891853,0.07482985034029932,40-55,B,mcclurejames,shannonjenkins@example.net,Amanda Martin,F,56
7,KTR,2022-11-14,2023-02-06,84,Monday,33255,EUR,55098,499999,20410,0.11019622039244079,0.3704308686340702,0.04082008164016328,45-60,B,mcclurejames,shannonjenkins@example.net,Amanda Martin,F,56
8,GRZ,2023-07-17,2023-08-12,26,Monday,419716,GBP,47562,500000,26707,0.095124,0.5615197006013204,0.053414,45-55,M,mcclurejames,shannonjenkins@example.net,Amanda Martin,F,56
9,GRZ,2023-04-07,2024-05-10,399,Friday,336193,EUR,93598,500000,315537,0.187196,3.3711938289279684,0.631074,35-45,F,eleonard,laurahayes@example.com,Cassandra Moore,F,36
10,BYU,2022-07-13,2023-08-28,411,Wednesday,623631,EUR,44949,500000,22706,0.089898,0.5051502814300652,0.045412,20-40,B,eleonard,laurahayes@example.com,Cassandra Moore,F,36
11,AKX,2023-09-16,2025-03-15,546,Saturday,670208,USD,62838,500000,567304,0.125676,9.028040357745313,1.134608,35-60,B,eleonard,laurahayes@example.com,Cassandra Moore,F,36
12,KTR,2023-05-21,2023-06-08,18,Sunday,67773,EUR,12788,500000,23348,0.025576,1.8257741632780733,0.046696,45-70,M,craiganderson,susankaiser@example.org,Jennifer Morris,F,35
13,BYU,2023-09-10,2023-10-25,45,Sunday,242216,GBP,97831,500002,43744,0.1956612173551306,0.4471384326031626,0.0874876500493998,35-60,B,craiganderson,susankaiser@example.org,Jennifer Morris,F,35
14,BYU,2023-04-02,2024-02-18,322,Sunday,788801,USD,56616,499995,392877,0.11323313233132332,6.939328105129292,0.7857618576185762,35-40,F,craiganderson,susankaiser@example.org,Jennifer Morris,F,35
15,GRZ,2023-08-08,2024-06-27,324,Tuesday,935543,EUR,66094,499998,734356,0.13218852875411502,11.110781614064816,1.4687178748714995,30-55,B,craiganderson,susankaiser@example.org,Jennifer Morris,F,35
16,AKX,2024-03-21,2025-04-28,403,Thursday,707017,USD,63913,499999,175236,0.1278262556525113,2.7417896202650476,0.3504727009454019,25-30,M,craiganderson,susankaiser@example.org,Jennifer Morris,F,35
17,AKX,2022-07-28,2023-11-21,481,Thursday,306904,EUR,52390,500002,10515,0.10477958088167648,0.2007062416491697,0.021029915880336477,45-60,F,evillarreal,rallen@example.net,Michael Carson,M,22
18,KTR,2024-02-28,2025-06-13,471,Wednesday,484196,USD,34268,500000,422341,0.068536,12.324646900898797,0.844682,35-55,M,evillarreal,rallen@example.net,Michael Carson,M,22
19,KTR,2023-01-07,2024-04-19,468,Saturday,920707,GBP,22339,500000,76387,0.044678,3.419445812256592,0.152774,40-55,B,evillarreal,rallen@example.net,Michael Carson,M,22
